CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40576812,BEL-AIRE DINER,QUEENS,3191,21 STREET,11106,7187213160,American,08/05/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,,,03/01/2018,Cycle Inspection / Initial Inspection
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Sandwiches/Salads/Mixed Buffet,09/06/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,33,,,03/01/2018,Cycle Inspection / Initial Inspection
41433220,SILVER KRUST WEST INDIAN RESTAURANT,BROOKLYN,747,NOSTRAND AVENUE,11216,7186042076,Caribbean,02/10/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,02/10/2016,03/01/2018,Cycle Inspection / Re-inspection
41144262,BURGER KING,BROOKLYN,6421,14 AVENUE,11219,7182368074,Hamburgers,06/15/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,,,03/01/2018,Cycle Inspection / Initial Inspection
50001193,EL NUEVO YAUCO RESTAURANT,BROOKLYN,465A,BUSHWICK AVE,11206,7183865913,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09/08/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,,,03/01/2018,Cycle Inspection / Initial Inspection
50001855,MANGIA,MANHATTAN,422,MADISON AVE,10017,2126449144,American,12/04/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/04/2017,03/01/2018,Cycle Inspection / Initial Inspection
41643108,KAI FENG FU DUMPLING HOUSE,BROOKLYN,4801,8 AVENUE,11220,7184373542,Chinese,08/03/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,08/03/2015,03/01/2018,Cycle Inspection / Re-inspection
41097273,NEW UNIVERSITY DELI,MANHATTAN,603,WEST  168 STREET,10032,2125683838,Delicatessen,03/17/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,25,,,03/01/2018,Cycle Inspection / Initial Inspection
50014905,LUPITA'S RESTAURANT,BRONX,904,MELROSE AVE,10451,3473678773,Mexican,08/25/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,16,,,03/01/2018,Pre-permit (Non-operational) / Initial Inspection
50001655,EL RICO TINTO BAKERY,QUEENS,76-07,37TH AVENUE,11372,7184241324,Spanish,01/23/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,,,03/01/2018,Cycle Inspection / Initial Inspection
50061134,CHILLHOUSE,MANHATTAN,149,ESSEX ST,10002,6466783501,CafÃ©/Coffee/Tea,06/02/2017,Establishment re-opened by DOHMH,,,Not Applicable,0,P,06/02/2017,03/01/2018,Pre-permit (Operational) / Reopening Inspection
41167580,POCO LOCO BAR,STATEN ISLAND,8,VANDUZER STREET,10301,3478258858,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",06/21/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,03/01/2018,Smoke-Free Air Act / Initial Inspection
40856837,BURRITO BOX,MANHATTAN,885,9 AVENUE,10019,2124896889,Tex-Mex,07/18/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,,,03/01/2018,Cycle Inspection / Initial Inspection
50007410,CHALK POINT KITCHEN,MANHATTAN,525,BROOME ST,10013,2123900327,American,05/07/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,05/07/2015,03/01/2018,Cycle Inspection / Initial Inspection
50035381,WENDY'S,BROOKLYN,621,BRIGHTON BEACH AVE,11235,7188097780,Hamburgers,08/18/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,,,03/01/2018,Pre-permit (Non-operational) / Initial Inspection
41506337,POPEYES LOUISIANA KITCHEN,QUEENS,14202,ROCKAWAY BOULEVARD,11436,7183233500,Chicken,09/14/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,09/14/2016,03/01/2018,Cycle Inspection / Initial Inspection
